Time;pH1_001_PV;O2_flow_001.PV;DO1_001.PV;CO2_flow_001.PV;BioR_temp_001.PV;Air_flow_001.PV;BioR_stirring_001.SP;BioOUT_pump_001.SP;BioIN_pump_001.SP;Base_pump_001.SP
21/09/2024 04:15:57.637;;;;14.3;;;;;;
21/09/2024 04:23:39.669;;;;;36.8;;;;;
21/09/2024 04:39:19.604;;;;;37.2;;;;;
21/09/2024 04:47:55.875;7.39;;;;;180;;;;
21/09/2024 04:53:38.333;;;;30.4;;;;;;
21/09/2024 04:55:11.925;;;;20.1;;;;;;
21/09/2024 04:55:13.741;;;94;;;;;;;
21/09/2024 04:59:39.535;;;;;37.0;;;;;
21/09/2024 04:59:54.119;;;94;;;;;;;
21/09/2024 05:02:18.836;;;;;36.9;;;;;
21/09/2024 05:04:05.637;;;94;;;;;;;
21/09/2024 05:07:43.534;;;;22.6;;;;;;
21/09/2024 05:09:11.055;;;;;36.9;;;;;
21/09/2024 05:37:05.636;;;;29.2;;;;;;
21/09/2024 05:47:55.932;7.39;;;;;180;;;;
21/09/2024 05:56:31.451;;;;;37.2;;;;;
21/09/2024 05:57:43.151;;;94;;;;;;;
21/09/2024 05:58:08.788;;;;15.5;;;;;;
21/09/2024 05:58:10.157;;;;20.0;;;;;;
21/09/2024 05:59:53.966;;;;;37.0;;;;;
21/09/2024 06:00:09.268;;;;;37.1;;;;;
21/09/2024 06:00:31.887;;;94;;;;;;;
21/09/2024 06:00:51.274;;;;22.2;;;;;;
21/09/2024 06:04:51.863;;;;;36.9;;;;;
21/09/2024 06:14:56.788;;;;15.2;;;;;;
21/09/2024 06:15:01.299;;;94;;;;;;;
21/09/2024 06:28:08.346;;;94;;;;;;;
21/09/2024 06:38:30.150;;;;;37.2;;;;;
21/09/2024 06:47:55.463;7.39;;;;;180;;;;
21/09/2024 06:54:09.876;;;;29.8;;;;;;
21/09/2024 06:54:12.986;;;;20.0;;;;;;
21/09/2024 06:57:40.891;;;94;;;;;;;
21/09/2024 06:59:18.881;;;;;36.9;;;;;
21/09/2024 07:00:00.411;;;94;;;;;;;
21/09/2024 07:00:40.300;;;;;37.0;;;;;
21/09/2024 07:03:50.810;;;;18.7;;;;;;
21/09/2024 07:07:13.732;;;94;;;;;;;
21/09/2024 07:13:41.215;;;;15.7;;;;;;
21/09/2024 07:22:10.639;;;;24.2;;;;;;
21/09/2024 07:28:47.785;;;;;37.2;;;;;
21/09/2024 07:40:15.888;;;;;36.8;;;;;
21/09/2024 07:45:12.095;;;94;;;;;;;
21/09/2024 07:47:55.488;7.39;;;;;180;;;;
21/09/2024 07:48:42.727;;;;20.0;;;;;;
21/09/2024 07:54:29.210;;;94;;;;;;;
21/09/2024 07:58:23.953;;;;;37.0;;;;;
21/09/2024 08:00:02.639;;;94;;;;;;;
21/09/2024 08:00:35.838;;;;;36.9;;;;;
21/09/2024 08:02:45.128;;;;19.2;;;;;;
21/09/2024 08:02:45.544;;;;16.2;;;;;;
21/09/2024 08:13:44.187;;;;;36.8;;;;;
21/09/2024 08:22:39.385;;;94;;;;;;;
21/09/2024 08:30:58.900;7.39;;;;;;;;;
21/09/2024 08:43:20.034;;;;25.7;;;;;;
21/09/2024 08:47:55.561;7.39;;;;;180;;;;
21/09/2024 08:55:41.532;;;;;37.2;;;;;
21/09/2024 08:58:54.685;;;;20.1;;;;;;
21/09/2024 08:59:58.455;;;;;37.1;;;;;
21/09/2024 08:59:59.487;;;94;;;;;;;
21/09/2024 09:00:05.676;;;;;37.0;;;;;
21/09/2024 09:02:50.963;;;;22.8;;;;;;
21/09/2024 09:02:57.695;;;94;;;;;;;
21/09/2024 09:08:27.989;;;94;;;;;;;
21/09/2024 09:16:01.024;;;;;36.9;;;;;
21/09/2024 09:42:04.445;;;;26.8;;;;;;
21/09/2024 09:42:04.881;;;;15.9;;;;;;
21/09/2024 09:47:55.599;7.39;;;;;180;;;;
21/09/2024 09:50:44.488;;;;;37.2;;;;;
21/09/2024 09:51:56.669;;;;20.0;;;;;;
21/09/2024 09:55:47.484;;;94;;;;;;;
21/09/2024 09:56:14.977;;;94;;;;;;;
21/09/2024 09:59:56.684;;;;;36.9;;;;;
21/09/2024 10:00:44.387;;;;;37.0;;;;;
21/09/2024 10:02:25.300;;;94;;;;;;;
21/09/2024 10:07:21.892;;;;19.7;;;;;;
21/09/2024 10:25:54.682;;;94;;;;;;;
21/09/2024 10:37:26.187;;;;;36.8;;;;;
21/09/2024 10:44:55.599;;;;;37.1;;;;;
21/09/2024 10:46:34.724;;;;28.3;;;;;;
21/09/2024 10:47:55.665;7.39;;;;;180;;;;
21/09/2024 10:49:18.511;;;;15.5;;;;;;
21/09/2024 10:50:41.408;;;;20.0;;;;;;
